#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T11:36:42 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T11:36:42	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/799/148&tab:{J/ApJ/799/148/table1}&key:source=J/ApJ/799/148&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/799/148/table1
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=z
#-out=Re
#-out=n
#-out=Filter
#-out=logM
#-out=sig.A
#-out=e_sig.A
#-out=sig.Re
#-out=e_sig.Re
#-out=tExp
#-out=HCat
#-out=Sloan
#Sloan=Sloan
#-out=SimbadName
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_17990148
#Name: J/ApJ/799/148
#Title: DEIMOS galaxy sample at z~0.7 (Bezanson+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/799/148	
#INFO	publisher=CDS	
#INFO	creator=Bezanson R.	
#INFO	related_resource=bibcode:2015ApJ...799..148B	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/799/148	
#INFO	publication_id=doi:10.26093/cds/vizier.17990148	
#INFO	publication_date=2018-01-05	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJ_799_148_table1:
#Name: J/ApJ/799/148/table1
#Title: DEIMOS z~0.7 sample - Galaxy properties
#Column	ID	(A6)	Identifier ({C/U}NNNNN) (1)	[ucd=meta.id]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	[0.3/1.1] Redshift	[ucd=src.redshift]
#Column	Re	(F4.1)	[0.6/15.6] Circularized effective radius	[ucd=phys.size.radius]
#Column	n	(F4.1)	[0.7/6] Sersic index (2)	[ucd=stat.fit.param]
#Column	Filter	(A10)	Filter used in the observation ("ACS-F814W" or "WFC3-F160W") (2)	[ucd=instr.setup;obs]
#Column	logM	(F5.2)	[9.9/11.6] Log stellar mass	[ucd=phys.mass]
#Column	sig.A	(I3)	[85/284] Velocity dispersion measured in the aperture	[ucd=phys.veloc.dispersion]
#Column	e_sig.A	(I2)	[3/34] Uncertainty in sigmaA	[ucd=stat.error]
#Column	sig.Re	(I3)	[88/291] Aperture corrected velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sig.Re	(I2)	[3/36] Uncertainty in sigmaRe	[ucd=stat.error]
#Column	tExp	(I5)	[20400/49200] Exposure time	[ucd=time.duration;obs.exposure]
#Column	HCat	(I3)	Sources within 1" from the HST-UDS and -COSMOS catalogs (van der Wel+, 2012, J/ApJS/203/24 and Whitaker+, 2011, J/ApJ/735/86)	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
#Column	SimbadName	(a27)	Simbad column added by the CDS	[ucd=meta.id]
ID;RAJ2000;DEJ2000;z;Re;n;Filter;logM;sig.A;e_sig.A;sig.Re;e_sig.Re;tExp;HCat;Sloan;SimbadName
 ;deg;deg; ;kpc; ; ;[Msun];km/s;km/s;km/s;km/s;s; ; ;
------;----------;----------;------;----;----;----------;-----;---;--;---;--;-----;---;-----;---------------------------
C1971 ;150.103580;+02.197926; 0.682; 4.4; 4.7;WFC3-F160W;10.96;214; 8;211; 8;49200;  3;Sloan;NMBS C1971
C2335 ;150.096590;+02.205227; 0.424; 0.8; 2.7;WFC3-F160W;10.13;131; 5;143; 6;49200;  3;Sloan;NMBS C2335
C3382 ;150.084050;+02.221891; 0.560; 5.9; 1.5;WFC3-F160W;10.62;158; 7;152; 7;49200;  3;Sloan;NMBS C3382
C3420 ;150.118560;+02.223079; 0.839; 2.1; 3.3;WFC3-F160W;10.83;245;15;255;16;49200;  3;Sloan;NMBS C3420
C3751 ;150.120940;+02.227110; 0.733; 3.6; 2.9;WFC3-F160W;11.07;171; 7;172; 7;49200;  3;Sloan;NMBS C3751
C3769 ;150.120790;+02.230302; 0.732; 2.0; 0.8;WFC3-F160W;10.10;153;14;159;15;49200;  3;Sloan;NMBS C3769
C4987 ;150.116490;+02.250227; 0.747; 1.4; 4.2;WFC3-F160W;10.47;236;13;252;14;49200;  3;Sloan;NMBS C4987
C5585 ;150.104360;+02.260600; 0.642; 1.9; 1.7;WFC3-F160W;10.15;133; 9;138; 9;49200;  3;Sloan;NMBS C5585
C6205 ;150.085720;+02.271631; 0.728; 1.5; 4.7;WFC3-F160W;10.65;225; 6;238; 7;49200;  3;Sloan;NMBS C6205
C6574 ;150.083340;+02.278471; 0.835; 1.6; 1.8;WFC3-F160W;10.49;241;34;255;36;49200;  3;Sloan;NMBS C6574
C6805 ;150.135370;+02.282998; 0.668; 1.4; 2.4;WFC3-F160W; 9.92;108; 8;115; 8;49200;  3;Sloan;NMBS C6805
C6880 ;150.098020;+02.281377; 0.750; 6.5; 4.0;WFC3-F160W;11.33;214; 6;206; 5;49200;  3;Sloan;NMBS C6880
C7505 ;150.099400;+02.290266; 0.361; 1.7; 3.9;WFC3-F160W;10.79;181; 3;186; 3;49200;  3;Sloan;NMBS C7505
C7884 ;150.089270;+02.299584; 0.533; 2.3; 5.1;WFC3-F160W;10.36;155; 7;158; 8;49200;  3;Sloan;NMBS C7884
C8225 ;150.087670;+02.304101; 0.533; 1.6; 4.9;WFC3-F160W;10.53;243; 6;255; 6;49200;  3;Sloan;NMBS C8225
C8454 ;150.098340;+02.308276; 0.687; 2.9; 1.2;WFC3-F160W;10.34;158;11;160;11;49200;  3;Sloan;NMBS C8454
C8520 ;150.137790;+02.309587; 0.461; 1.9; 1.3;WFC3-F160W;10.36;157; 4;161; 4;49200;  3;Sloan;NMBS C8520
C9125 ;150.125950;+02.320155; 0.677; 1.5; 4.0;WFC3-F160W;10.23;181; 7;191; 7;49200;  3;Sloan;NMBS C9125
C9620 ;150.120450;+02.327686; 0.884; 1.5; 6.0;ACS-F814W ;10.44;185;11;196;12;49200;  3;Sloan;NMBS C9620
C10105;150.093720;+02.333960; 0.668; 2.8; 5.2;WFC3-F160W;10.79;177; 5;180; 5;49200;  3;Sloan;NMBS C10105
C10458;150.128330;+02.340831; 1.030; 1.3; 4.5;WFC3-F160W;10.50;158;15;171;16;49200;  3;Sloan;NMBS C10458
C11537;150.096300;+02.356840; 0.530; 1.0; 2.4;WFC3-F160W;10.19;202; 6;217; 7;49200;  3;Sloan;NMBS C11537
C11601;150.131770;+02.358689; 0.698; 1.4; 3.2;WFC3-F160W;10.28;150; 8;160; 9;49200;  3;Sloan;NMBS C11601
