#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-11T14:56:54 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-11T14:56:55	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/682/964&tab:{J/ApJ/682/964/table4}&key:source=J/ApJ/682/964/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/682/964/table4
#-order=I
#-out=SDSS
#-out=zFG
#-out=zBG
#-out=Imag
#-out=n_Imag
#-out=Name
#-out=L(V555)
#-out=Re
#-out=b/a
#-out=sigma
#-out=e_sigma
#-out=Mph
#-out=Mul
#-out=Lens
#-out=n_Lens
#-out=Sloan
#Sloan=Sloan
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_16820964
#Name: J/ApJ/682/964
#Title: Sloan lens ACS survey. V. (Bolton+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/apj/682/964	
#INFO	publisher=CDS	
#INFO	creator=Bolton A.S.	
#INFO	related_resource=bibcode:2008ApJ...682..964B	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/682/964	
#INFO	publication_id=doi:10.26093/cds/vizier.16820964	
#INFO	publication_date=2009-11-07	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJ_682_964_table4:
#Name: J/ApJ/682/964/table4
#Title: SLACS HST-ACS target observational data
#Column	SDSS	(a18)	SDSS name (HHMMSS.ss+DDMMSS.s) (1)	[ucd=meta.id;meta.main]
#Column	zFG	(F7.4)	Foreground galaxy redshift (directly from SDSS database)	[ucd=src.redshift]
#Column	zBG	(F7.4)	Background galaxy redshift (measured as described in Bolton et al. 2004AJ....127.1860B)	[ucd=src.redshift]
#Column	Imag	(F5.2)	? HST-ACS I_814_ magnitude (2)	[ucd=phot.mag;em.opt.I]
#Column	n_Imag	(A1)	[sd] Origin of Imag (3)	[ucd=meta.note]
#Column	Name	(a10)	System name (JHHMM-DDMM), as in table5	[ucd=meta.id]
#Column	L(V555)	(F5.1)	? Rest-frame luminosity in V555 band (5)	[ucd=phys.luminosity]
#Column	Re	(F5.2)	? Effective radius (6)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	? Ratio of minor to major axes for the de Vaucouleurs image models	[ucd=phys.angSize;arith.ratio]
#Column	sigma	(I3)	? Velocity dispersion, uncorrected for aperture effects	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	? rms uncertainty on sigma (7)	[ucd=stat.error]
#Column	Mph	(A1)	[ELU] Foreground-galaxy morphology code (8)	[ucd=meta.code;src.morph]
#Column	Mul	(A1)	[MS] Foreground-galaxy multiplicity code (9)	[ucd=meta.code.multip]
#Column	Lens	(A1)	[AXB] Lens status code (10)	[ucd=meta.code]
#Column	n_Lens	(A1)	[*] Note on Lens status in notes.dat file (11)	[ucd=meta.note]
#Column	Sloan	(a5)	Show the SDSS spectrum	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right ascension (derived from SDSS) for Eq=J2000	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (derived from SDSS) for Eq=J2000	[ucd=pos.eq.dec;meta.main]
SDSS;zFG;zBG;Imag;n_Imag;Name;L(V555);Re;b/a;sigma;e_sigma;Mph;Mul;Lens;n_Lens;Sloan;_RA;_DE
 ; ; ;mag; ; ;GsolLum;arcsec; ;km/s;km/s; ; ; ; ; ;deg;deg
------------------;-------;-------;-----;-;----------;-----;-----;-----;---;--;-;-;-;-;-----;---------;---------
000802.96-000408.2; 0.4400; 1.1924;18.65;d;J0008-0004; 86.7; 1.71; 0.83;   ;  ;E;S;A; ;Sloan;002.01233;-00.06894
002817.87-092934.3; 0.0565; 0.7146;13.75;s;J0028-0929; 92.8;15.21; 0.48;147; 7;L;S;X; ;Sloan;007.07446;-09.49286
002907.77-005550.5; 0.2270; 0.9313;17.09;d;J0029-0055; 76.3; 2.16; 0.84;229;18;E;S;A; ;Sloan;007.28237;-00.93069
003753.21-094220.1; 0.1955; 0.6322;16.26;s;J0037-0942;120.5; 2.19; 0.73;279;14;E;S;A; ;Sloan;009.47171;-09.70558
004402.90+011312.6; 0.1196; 0.1965;15.73;s;J0044+0113; 68.8; 2.61; 0.76;266;13;E;S;A; ;Sloan;011.01208;+01.22017
010933.73+150032.5; 0.2939; 0.5248;17.75;s;J0109+1500; 77.2; 1.38; 0.78;251;19;E;S;A; ;Sloan;017.39054;+15.00903
015758.94-005626.1; 0.5132; 0.9243;18.64;d;J0157-0056;117.3; 1.06; 0.69;   ;  ;E;S;A; ;Sloan;029.49558;-00.94058
021652.54-081345.3; 0.3317; 0.5235;16.93;d;J0216-0813;206.4; 2.67; 0.79;333;23;E;S;A; ;Sloan;034.21892;-08.22925
025245.21+003958.4; 0.2803; 0.9818;18.04;d;J0252+0039; 55.8; 1.39; 0.94;164;12;E;S;A; ;Sloan;043.18837;+00.66622
033012.14-002051.9; 0.3507; 1.0709;18.16;d;J0330-0020; 82.3; 1.20; 0.77;212;21;E;S;A; ;Sloan;052.55058;-00.34775
035458.47-064842.8; 0.1301; 0.3808;15.90;s;J0354-0648; 76.9; 3.76; 0.88;160; 8;E;S;X; ;Sloan;058.74362;-06.81189
040535.41-045552.4; 0.0753; 0.8098;16.45;s;J0405-0455; 15.8; 1.36; 0.69;160; 8;E;S;A; ;Sloan;061.39754;-04.93122
072804.95+383525.7; 0.2058; 0.6877;16.74;d;J0728+3835; 91.2; 1.78; 0.74;214;11;E;S;A; ;Sloan;112.02062;+38.59047
073728.45+321618.6; 0.3223; 0.5812;17.04;d;J0737+3216;177.8; 2.82; 0.85;338;17;E;S;A; ;Sloan;114.36854;+32.27183
074251.84+345001.9; 0.0853; 0.7390;17.02;s;J0742+3450; 11.0; 1.77; 0.97;165;10;E;S;X; ;Sloan;115.71600;+34.83386
075834.68+303443.3; 0.1156; 0.5013;16.05;s;J0758+3034; 50.3; 1.37; 0.81;191;10;E;S;B; ;Sloan;119.64450;+30.57869
080240.82+450452.7; 0.1423; 0.4523;16.16;s;J0802+4504; 70.3; 2.71; 0.80;244;12;E;S;X; ;Sloan;120.67008;+45.08131
080358.21+453655.6; 0.1313; 0.2938;16.90;s;J0803+4536; 31.6; 1.07; 0.36;228;12;L;S;X; ;Sloan;120.99254;+45.61544
080858.78+470638.9; 0.2195; 1.0251;     ; ;J0808+4706;     ;     ;     ;   ;  ;E;M;A;*;Sloan;122.24492;+47.11081
081931.93+453444.8; 0.1943; 0.4462;17.07;s;J0819+4534; 57.6; 1.98; 0.78;225;15;E;S;B; ;Sloan;124.88304;+45.57911
082242.32+265243.5; 0.2414; 0.5941;16.99;d;J0822+2652; 95.4; 1.82; 0.74;259;15;E;S;A; ;Sloan;125.67633;+26.87875
084128.81+382413.7; 0.1159; 0.6567;15.34;d;J0841+3824; 94.6; 4.21; 0.58;225;11;L;S;A; ;Sloan;130.37004;+38.40381
