#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-11T14:55:43 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-11T14:55:43	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/501/461&tab:{J/A+A/501/461/lens}&key:source=J/A+A/501/461&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/501/461/lens
#-order=I
#-out=SLACS
#-out=zl
#-out=zs
#-out=thetaE
#-out=thetae
#-out=SDSS
#SDSS=SDSS
#-out=Sloan
#Sloan=Sloan
#-out=Simbad
#Simbad=Simbad
#-out=MSalBC
#-out=E_MSalBC
#-out=e_MSalBC
#-out=MSalM
#-out=E_MSalM
#-out=e_MSalM
#-out=MChaBC
#-out=E_MChaBC
#-out=e_MChaBC
#-out=MKroM
#-out=E_MKroM
#-out=e_MKroM
#-out=fap
#-out=MSalBC2
#-out=E_MSalBC2
#-out=e_MSalBC2
#-out=MSalM2
#-out=E_MSalM2
#-out=e_MSalM2
#-out=MChaBC2
#-out=E_MChaBC2
#-out=e_MChaBC2
#-out=MKroM2
#-out=E_MKroM2
#-out=e_MKroM2
#-out=Mtotlen
#-out=e_Mtotlen
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35010461
#Name: J/A+A/501/461
#Title: Photometric masses of early-type lens galaxies (Grillo+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/a+a/501/461	
#INFO	publisher=CDS	
#INFO	creator=Grillo C.	
#INFO	related_resource=bibcode:2009A&A...501..461G	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/501/461	
#INFO	publication_id=doi:10.26093/cds/vizier.35010461	
#INFO	publication_date=2017-05-30	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_501_461_lens:
#Name: J/A+A/501/461/lens
#Title: Spectroscopy, photometry, and lensing mass  measurements of the 57 early-type grade-A lens galaxies of  the SLACS survey
#Column	SLACS	(a10)	System name (JHHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	zl	(F6.3)	Lens redshift	[ucd=src.redshift]
#Column	zs	(F6.3)	Source redshift	[ucd=src.redshift]
#Column	thetaE	(F5.2)	Einstein angle of the lensing systems	[ucd=phys.angSize;src]
#Column	thetae	(F5.2)	Effective angle of the lensing systems	[ucd=phys.angSize;src]
#Column	SDSS	(A4)	Display the SDSS-DR7 data	[ucd=meta.ref.url]
#Column	Sloan	(a5)	SDSS data from Sloan site	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	MSalBC	(I3)	Photometric mass from Sal,BC model (1)	[ucd=phys.mass]
#Column	E_MSalBC	(I2)	Error on MSalBC (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalBC	(I2)	Error on MSalBC (lower limit)	[ucd=stat.error]
#Column	MSalM	(I3)	Photometric mass from Sal,M model (1)	[ucd=phys.mass]
#Column	E_MSalM	(I2)	Error on MSalM (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalM	(I2)	Error on MSalM (lower limit)	[ucd=stat.error]
#Column	MChaBC	(I2)	Photometric mass from Cha,BC model (1)	[ucd=phys.mass]
#Column	E_MChaBC	(I2)	Error on MChaBC (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MChaBC	(I2)	Error on MChaBC (lower limit)	[ucd=stat.error]
#Column	MKroM	(I2)	Photometric mass from Kro,M model (1)	[ucd=phys.mass]
#Column	E_MKroM	(I2)	Error on MKroM (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MKroM	(I2)	Error on MKroM (lower limit)	[ucd=stat.error]
#Column	fap	(F5.2)	Aperture factor	[ucd=arith.factor]
#Column	MSalBC2	(I2)	Photometric mass from Sal,BC model, for R<=R_Ein_ (1)	[ucd=phys.mass]
#Column	E_MSalBC2	(I2)	Error on MSalBC2 (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalBC2	(I2)	Error on MSalBC2 (lower limit)	[ucd=stat.error]
#Column	MSalM2	(I2)	Photometric mass from Sal,M model for R<=R_Ein_ (1)	[ucd=phys.mass]
#Column	E_MSalM2	(I2)	Error on MSalM2 (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MSalM2	(I2)	Error on MSalM2 (lower limit)	[ucd=stat.error]
#Column	MChaBC2	(I2)	Photometric mass from Cha,BC model for R<=R_Ein_ (1)	[ucd=phys.mass]
#Column	E_MChaBC2	(I1)	Error on MChaBC2 (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MChaBC2	(I1)	Error on MChaBC2 (lower limit)	[ucd=stat.error]
#Column	MKroM2	(I2)	Photometric mass from Kro,M model for R<=R_Ein_ (1)	[ucd=phys.mass]
#Column	E_MKroM2	(I2)	Error on MKroM2 (upper limit)	[ucd=stat.error;stat.max]
#Column	e_MKroM2	(I2)	Error on MKroM2 (lower limit)	[ucd=stat.error]
#Column	Mtotlen	(I2)	Total mass from gravitational lensing for R<=R_Ein_	[ucd=phys.mass]
#Column	e_Mtotlen	(I1)	rms uncertainty on Mtotlen	[ucd=stat.error]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
SLACS;zl;zs;thetaE;thetae;SDSS;Sloan;Simbad;MSalBC;E_MSalBC;e_MSalBC;MSalM;E_MSalM;e_MSalM;MChaBC;E_MChaBC;e_MChaBC;MKroM;E_MKroM;e_MKroM;fap;MSalBC2;E_MSalBC2;e_MSalBC2;MSalM2;E_MSalM2;e_MSalM2;MChaBC2;E_MChaBC2;e_MChaBC2;MKroM2;E_MKroM2;e_MKroM2;Mtotlen;e_Mtotlen;_RA;_DE
 ; ; ;arcsec;arcsec; ; ; ;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass; ;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;10+10solMass;deg;deg
----------;------;------;-----;-----;----;-----;------;---;--;--;---;--;--;--;--;--;--;--;--;-----;--;--;--;--;--;--;--;-;-;--;--;--;--;-;---------;---------
J0008-0004; 0.440; 1.192; 1.16; 1.71;SDSS;Sloan;Simbad; 48; 8;29; 40; 7;27;28; 3;18;22; 7;14; 0.40;19; 3;11;16; 3;11;11;1;7; 9; 3; 6;35;4;002.01233;-00.06894
J0029-0055; 0.227; 0.931; 0.96; 2.16;SDSS;Sloan;Simbad; 31;14; 9; 15;22; 2;17; 8; 5; 9;15; 1; 0.29; 9; 4; 3; 4; 6; 1; 5;2;1; 3; 4; 1;12;1;007.28237;-00.93069
J0037-0942; 0.196; 0.632; 1.53; 2.19;SDSS;Sloan;Simbad; 54;11;20; 54; 5;31;31; 6;12;35; 5;22; 0.40;22; 4; 8;22; 2;13;13;2;5;14; 2; 9;29;3;009.47171;-09.70558
J0044+0113; 0.120; 0.197; 0.79; 2.61;SDSS;Sloan;Simbad; 23;11; 6; 29; 4;19;15; 5; 6;19; 3;13; 0.22; 5; 2; 1; 6; 1; 4; 3;1;1; 4; 1; 3; 9;1;011.01208;+01.22017
J0109+1500; 0.294; 0.525; 0.69; 1.38;SDSS;Sloan;Simbad; 44;11; 8; 32;18;10;26; 5; 6;20;12; 6; 0.32;14; 4; 3;10; 6; 3; 8;2;2; 6; 4; 2;13;1;017.39054;+15.00903
J0157-0056; 0.513; 0.924; 0.79; 1.06;SDSS;Sloan;Simbad; 74;10;31; 43;23;13;43; 4;19;27;15; 8; 0.42;31; 4;13;18;10; 5;18;2;8;11; 6; 3;26;3;029.49558;-00.94058
J0216-0813; 0.332; 0.523; 1.16; 2.67;SDSS;Sloan;Simbad;120;30;46; 89;31;24;70;11;22;59;19;18; 0.29;35; 9;13;26; 9; 7;20;3;6;17; 5; 5;49;5;034.21892;-08.22925
J0252+0039; 0.280; 0.982; 1.04; 1.39;SDSS;Sloan;Simbad; 22; 2;10; 18; 3;12;12; 2; 5;11; 2; 7; 0.42; 9; 1; 4; 8; 1; 5; 5;1;2; 5; 1; 3;18;2;043.18837;+00.66622
J0330-0020; 0.351; 1.071; 1.10; 1.20;SDSS;Sloan;Simbad; 52; 2;13; 42; 3;14;29; 2; 6;27; 1; 8; 0.48;25; 1; 6;20; 1; 7;14;1;3;13; 1; 4;25;3;052.55058;-00.34775
J0405-0455; 0.075; 0.810; 0.80; 1.36;SDSS;Sloan;Simbad;  5; 3; 2;  7; 2; 4; 3; 2; 1; 4; 2; 3; 0.36; 2; 1; 1; 2; 1; 1; 1;1;1; 2; 1; 1; 3;1;061.39754;-04.93122
J0728+3835; 0.206; 0.688; 1.25; 1.78;SDSS;Sloan;Simbad; 25;12; 3; 23;15; 7;14; 8; 1;17; 8; 8; 0.41;10; 5; 1; 9; 6; 3; 6;3;1; 7; 3; 3;20;2;112.02062;+38.59047
J0737+3216; 0.322; 0.581; 1.00; 2.82;SDSS;Sloan;Simbad; 91; 5;18; 74; 7;21;52; 1;12;50; 3;18; 0.25;22; 1; 4;18; 2; 5;13;1;3;12; 1; 4;29;3;114.36854;+32.27183
J0822+2652; 0.241; 0.594; 1.17; 1.82;SDSS;Sloan;Simbad; 58; 2; 8; 51; 3;20;33; 1; 6;32; 4;14; 0.38;22; 1; 3;20; 1; 8;13;1;2;12; 2; 5;24;2;125.67633;+26.87875
J0903+4116; 0.430; 1.065; 1.29; 1.78;SDSS;Sloan;Simbad; 96; 4;33; 80; 6;31;54; 3;22;50; 4;23; 0.41;40; 2;14;33; 2;13;22;1;9;21; 2;10;45;5;135.81329;+41.26919
J0912+0029; 0.164; 0.324; 1.63; 3.87;SDSS;Sloan;Simbad; 73;14;11; 77;21;31;43; 8; 8;49;16;21; 0.28;21; 4; 3;22; 6; 9;12;2;2;14; 5; 6;40;4;138.02212;+00.48367
J0935-0003; 0.347; 0.467; 0.87; 4.24;SDSS;Sloan;Simbad;140;20;30;100;30;25;81; 6;19;65;19;17; 0.15;21; 3; 5;15; 5; 4;12;1;3;10; 3; 3;41;4;143.93304;-00.05967
J0936+0913; 0.190; 0.588; 1.09; 2.11;SDSS;Sloan;Simbad; 32; 9; 7; 26;21;11;18; 5; 4;16;14; 6; 0.33;11; 3; 2; 9; 7; 4; 6;2;1; 5; 5; 2;15;1;144.00321;+09.22661
J0946+1006; 0.222; 0.609; 1.38; 2.35;SDSS;Sloan;Simbad; 41; 2; 8; 35; 3;20;24; 1; 6;23; 2;13; 0.36;15; 1; 3;13; 1; 7; 9;1;2; 8; 1; 5;29;3;146.73617;+10.11467
J0956+5100; 0.240; 0.470; 1.33; 2.19;SDSS;Sloan;Simbad; 75; 8;33; 66;11;42;43; 4;19;42; 6;27; 0.37;28; 3;12;24; 4;15;16;1;7;15; 2;10;37;4;149.12408;+51.00183
J0959+4416; 0.237; 0.531; 0.96; 1.98;SDSS;Sloan;Simbad; 44; 9;10; 45; 1;27;28; 1; 7;27; 3;16; 0.31;14; 3; 3;14; 1; 8; 9;1;2; 8; 1; 5;17;2;149.75400;+44.27761
J0959+0410; 0.126; 0.535; 0.99; 1.39;SDSS;Sloan;Simbad; 12; 2; 3; 12; 4; 6; 7; 2; 2; 8; 2; 4; 0.41; 5; 1; 1; 5; 2; 2; 3;1;1; 3; 1; 2; 8;1;149.93362;+04.17139
J1016+3859; 0.168; 0.439; 1.09; 1.46;SDSS;Sloan;Simbad; 22; 5; 6; 17;12; 4;13; 3; 3;12; 7; 4; 0.42; 9; 2; 3; 7; 5; 2; 5;1;1; 5; 3; 2;15;1;154.09525;+38.98425
