#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-01-24T18:30:10 [V7.32.7]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2024-01-24T18:30:10	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/777/97&tab:{J/ApJ/777/97/table4}&key:source=J/ApJ/777/97/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/777/97/table4
#-order=I
#-out=Nc
#-out=SL2S
#-out=m_SL2S
#-out=Reff
#-out=imag
#Simbad=Simbad
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.7	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_17770097
#Name: J/ApJ/777/97
#Title: SL2S galaxy-scale lens sample. III. (Sonnenfeld+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/777/97	
#INFO	publisher=CDS	
#INFO	creator=Sonnenfeld A.	
#INFO	related_resource=bibcode:2013ApJ...777...97S	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/777/97	
#INFO	publication_id=doi:10.26093/cds/vizier.17770097	
#INFO	publication_date=2018-01-05	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJ_777_97_table4:
#Name: J/ApJ/777/97/table4
#Title: Lens light parameters, CFHT photometry
#Column	Nc	(I1)	Number of components for this lens	[ucd=meta.ref.url]
#Column	SL2S	(A14)	Lens name (G1)	[ucd=meta.id;meta.main]
#Column	m_SL2S	(A2)	2d component (G1)	[ucd=meta.code.multip]
#Column	Reff	(F5.2)	[0.2/2.3] Effective radius (1)	[ucd=phys.angSize]
#Column	imag	(F5.2)	[16.8/21.2] The CFHT i-band magnitude (1)	[ucd=phot.mag;em.opt.I]
#Column	_RA	(F7.3)	Positions from SL2S lens names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Positions from SL2S lens names (declination part)	[ucd=pos.eq.dec;meta.main]
Nc;SL2S;m_SL2S;Reff;imag;_RA;_DE
 ; ; ;arcsec;mag;deg;deg
-;--------------;--;-----;-----;-------;--------
1;J020833-071414;  ; 1.06;18.22;032.137;-07.2372
1;J021206-075528;  ; 0.78;18.90;033.025;-07.9244
1;J021247-055552;  ; 1.22;20.21;033.196;-05.9311
1;J021325-074355;  ; 1.97;19.27;033.354;-07.7319
1;J021411-040502;  ; 1.21;19.65;033.546;-04.0839
1;J021737-051329;  ; 0.73;19.70;034.404;-05.2247
1;J021801-080247;  ; 1.02;20.33;034.504;-08.0464
1;J021902-082934;  ; 0.95;18.94;034.758;-08.4928
1;J022046-094927;  ; 0.53;19.88;035.192;-09.8242
1;J022056-063934;  ; 1.42;17.86;035.233;-06.6594
1;J022346-053418;  ; 1.31;18.70;035.942;-05.5717
1;J022357-065142;  ; 1.36;18.63;035.987;-06.8617
1;J022511-045433;  ; 2.12;16.81;036.296;-04.9092
1;J022610-042011;  ; 0.84;18.80;036.542;-04.3364
1;J022648-040610;  ; 0.48;20.12;036.700;-04.1028
1;J022648-090421;  ; 1.40;18.06;036.700;-09.0725
1;J023251-040823;  ; 1.14;18.72;038.212;-04.1397
1;J084847-035103;  ; 0.45;20.81;132.196;-03.8508
1;J084909-041226;  ; 0.46;20.16;132.287;-04.2072
1;J084934-043352;  ; 1.59;18.31;132.392;-04.5644
1;J084959-025142;  ; 1.34;17.94;132.496;-02.8617
1;J085019-034710;  ; 0.28;19.38;132.579;-03.7861
1;J085327-023745;  ; 1.47;20.29;133.362;-02.6292
1;J085540-014730;  ; 0.69;19.37;133.917;-01.7917
1;J085559-040917;  ; 1.13;18.72;133.996;-04.1547
1;J085826-014300;  ; 0.55;20.78;134.608;-01.7167
1;J090106-025906;  ; 0.42;21.16;135.275;-02.9850
1;J090407-005952;  ; 2.00;19.47;136.029;-00.9978
1;J095921+020638;  ; 0.46;20.23;149.837;+02.1106
1;J135847+545913;  ; 0.92;19.16;209.696;+54.9869
1;J135949+553550;  ; 1.13;20.69;209.954;+55.5972
1;J140123+555705;  ; 0.86;18.97;210.346;+55.9514
1;J140156+554446;  ; 1.44;18.47;210.483;+55.7461
1;J140221+550534;  ; 1.52;18.19;210.587;+55.0928
1;J140454+520024;  ; 2.03;17.73;211.225;+52.0067
2;J140533+550231;  ; 0.56;20.13;211.387;+55.0419
